theta_target,theta_deg,theta_error_deg,dE_kcal,dEe_kcal,dEN_kcal,nit,converged,k_penalty,retries
0.0,0.761,0.761,0.0000,0.0000,0.0000,2,no,8.00,1
45.0,44.542,0.458,-50.9199,-1119.7450,1068.8251,2,no,8.00,1
